stadtteil;acs_jahr;jahr;monat;wochentag;stunde;ist_wochenende;ist_nacht;antwortzeit_min;einsatzart;bataillon;alarmstufe;schaetzung_sachschaden_usd;gesamtbevoelkerung;median_haushaltseinkommen;armutsquote_pct;akademikerquote_pct;median_miete;leerstandsquote_pct;kriminalitaetsindex;kriminalitaetsrate_pro_1000_ew_roh;gesamtzahl_wohneinheiten;anteil_altbau_vor_1940_pct;anteil_wohngebaeude_pct;anteil_risikogewerbe_pct
Pacific Heights;2009;2005;12;5;14;1;0;3.0;743 - Smoke detector, no fire, accidental;B04;1;0.0;9993;112510;0.0525;;1692;0.074;;;15087;0.833;0.8998;0.0288
Bayview Hunters Point;2009;2005;12;5;14;1;0;4.683333333333334;745 - Alarm system sounded/no fire-accidental;B10;1;0.0;29855;46395;0.1856;;982;0.0988;;;11504;0.4012;0.7371;0.1005
Financial District/South Beach;2019;2020;1;2;0;0;1;6.9;745 Alarm system activation, no fire - unintentional;B03;1;0.0;4569;107073;0.1777;0.3846;1814;0.1977;12.2226;2554.169;16452;0.6597;0.1331;0.0719
Lone Mountain/Usf;2014;2018;2;0;11;0;0;3.566666666666667;321 EMS call, excluding vehicle accident with injury;B07;1;0.0;8802;82895;0.1398;0.3988;1552;0.0544;0.9414;221.427;6582;0.7102;0.9216;0.0446
Glen Park;2023;2024;1;0;1;0;1;5.766666666666667;531 Smoke or odor removal;B06;1;0.0;8458;179045;0.047;0.3759;2606;0.0772;0.5948;87.255;3964;0.7607;0.6708;0.015
South Of Market;2021;2022;12;0;11;0;0;3.0;730 System malfunction, other;B03;1;0.0;24972;85183;0.1585;0.3344;1624;0.1469;3.3068;474.531;17638;0.6858;0.3221;0.2218
Mission Bay;2023;2024;1;0;1;0;1;5.083333333333333;735 Alarm system sounded due to malfunction;B03;1;0.0;16710;208398;0.069;0.3244;3339;0.0813;0.8982;131.777;8458;0.456;0.1053;0.0832
Bayview Hunters Point;2019;2020;1;2;0;0;1;5.333333333333333;150 Outside rubbish fire, other;B10;1;0.0;37917;64881;0.1779;0.1823;1367;0.0611;0.954;199.356;11504;0.4012;0.7371;0.1005
Financial District/South Beach;2009;2005;12;5;14;1;0;3.6;730 - System malfunction, other;B03;1;0.0;3946;81993;0.1323;;1521;0.2022;;;16452;0.6597;0.1331;0.0719
South Of Market;2021;2022;12;0;11;0;0;3.683333333333333;353 Removal of victim(s) from stalled elevator;B03;1;0.0;24972;85183;0.1585;0.3344;1624;0.1469;3.3068;474.531;17638;0.6858;0.3221;0.2218
Castro/Upper Market;2014;2018;2;0;12;0;0;3.25;730 System malfunction, other;B05;1;0.0;15656;115515;0.0748;0.3815;1808;0.0842;1.2655;297.649;11618;0.7978;0.9132;0.0339
Oceanview/Merced/Ingleside;2014;2018;2;0;12;0;0;4.233333333333333;744 Detector activation, no fire - unintentional;B09;1;0.0;20815;75579;0.1496;0.2123;1699;0.044;0.3289;77.348;6636;0.612;0.4612;0.0181
Western Addition;2021;2022;12;0;12;0;0;1.9166666666666667;113 Cooking fire, confined to container;B05;1;0.0;21989;100911;0.1926;0.3608;1718;0.1259;1.4321;205.512;12487;0.7305;0.7715;0.0416
Financial District/South Beach;2023;2024;1;0;1;0;1;18.066666666666666;353 Removal of victim(s) from stalled elevator;B03;1;0.0;24519;190545;0.0886;0.3662;3130;0.1935;2.003;293.854;16452;0.6597;0.1331;0.0719
Tenderloin;2009;2005;12;5;15;1;0;2.216666666666667;745 - Alarm system sounded/no fire-accidental;B04;1;0.0;;;;;;;;;20084;0.8892;0.4952;0.1139
Presidio Heights;2019;2020;1;2;0;0;1;4.616666666666666;600 Good intent call, other;B07;1;0.0;4634;166103;0.1055;0.4143;1762;0.0673;0.8427;176.09;5190;0.7754;0.9043;0.0233
Chinatown;2023;2024;1;0;1;0;1;5.1;320 Emergency medical service incident, other;B01;1;0.0;12644;37973;0.2883;0.1812;907;0.1372;1.1898;174.549;8076;0.8943;0.5811;0.0869
Bernal Heights;2021;2022;12;0;12;0;0;5.45;700 False alarm or false call, other;B10;1;0.0;25325;152701;0.0729;0.3119;2123;0.0948;0.7595;108.983;8715;0.6904;0.9034;0.0402
Pacific Heights;2014;2018;2;0;13;0;0;3.4;745 Alarm system activation, no fire - unintentional;B04;1;0.0;15836;116465;0.0493;0.451;1922;0.0862;0.6967;163.867;15087;0.833;0.8998;0.0288
Potrero Hill;2009;2005;12;5;15;1;0;4.3;311 - Medical assist, assist EMS crew;B10;1;0.0;3501;119797;0.0334;;1890;0.0395;;;7487;0.6637;0.8053;0.1087
Tenderloin;2019;2020;1;2;1;0;1;4.35;735 Alarm system sounded due to malfunction;B02;1;0.0;11685;32229;0.2984;0.2069;1018;0.1165;5.4893;1147.112;20084;0.8892;0.4952;0.1139
Pacific Heights;2023;2024;1;0;1;0;1;6.633333333333334;651 Smoke scare, odor of smoke;B04;1;0.0;22976;197067;0.0511;0.4707;3049;0.1602;0.6746;98.973;15087;0.833;0.8998;0.0288
Potrero Hill;2009;2005;12;5;15;1;0;4.216666666666667;700 - False alarm or false call, other;B10;1;0.0;3501;119797;0.0334;;1890;0.0395;;;7487;0.6637;0.8053;0.1087
Bayview Hunters Point;2014;2018;2;0;13;0;0;3.1;322 Motor vehicle accident with injuries;B10;1;0.0;37537;58112;0.2249;0.1659;1139;0.0804;0.8745;205.69;11504;0.4012;0.7371;0.1005
Portola;2021;2022;12;0;12;0;0;12.25;300 Rescue, EMS incident, other;B10;1;0.0;15965;108595;0.0912;0.1959;2140;0.0411;0.6224;89.32;4373;0.3656;0.9395;0.0172
Nob Hill;2019;2020;1;2;1;0;1;2.1333333333333333;150 Outside rubbish fire, other;B04;1;0.0;17637;100708;0.1088;0.393;1917;0.1305;1.1132;232.636;17512;0.8813;0.8304;0.0738
Tenderloin;2021;2022;12;0;12;0;0;5.833333333333333;520 Water problem, other;B03;1;0.0;31118;44084;0.2314;0.2467;1190;0.1325;2.8432;407.995;20084;0.8892;0.4952;0.1139
North Beach;2023;2024;1;0;1;0;1;7.25;150 Outside rubbish fire, other;B01;1;0.0;11497;130293;0.0998;0.3457;2225;0.1971;2.4314;356.702;6485;0.7892;0.7707;0.0525
Castro/Upper Market;2014;2018;2;0;13;0;0;2.2666666666666666;311 Medical assist, assist EMS crew;B05;1;0.0;15656;115515;0.0748;0.3815;1808;0.0842;1.2655;297.649;11618;0.7978;0.9132;0.0339
Japantown;2019;2020;1;2;2;0;1;4.483333333333333;150 Outside rubbish fire, other;B04;1;0.0;3551;79783;0.1061;0.2535;1470;0.1061;1.6912;353.422;3095;0.5728;0.4892;0.0944
Mission;2009;2005;12;5;15;1;0;4.35;111 - Building fire;B02;1;500.0;33928;69039;0.1126;;1273;0.0578;;;25369;0.8541;0.7952;0.1418
North Beach;2023;2024;1;0;1;0;1;7.783333333333333;1600 Tent/Encampment fire;B01;1;0.0;11497;130293;0.0998;0.3457;2225;0.1971;2.4314;356.702;6485;0.7892;0.7707;0.0525
Outer Mission;2014;2018;2;0;13;0;0;4.116666666666666;745 Alarm system activation, no fire - unintentional;B09;1;0.0;7047;60469;0.0969;0.192;1342;0.005;1.1584;272.456;5725;0.7711;0.5901;0.0245
Marina;2019;2020;1;2;2;0;1;4.4;322 Motor vehicle accident with injuries;B04;1;0.0;16100;148914;0.0359;0.533;2526;0.0679;1.1431;238.882;14844;0.8553;0.8857;0.0363
Nob Hill;2021;2022;12;0;13;0;0;3.3;113 Cooking fire, confined to container;B01;1;50.0;25622;104858;0.1107;0.4003;1984;0.1777;0.9484;136.094;17512;0.8813;0.8304;0.0738
Bernal Heights;2009;2005;12;5;16;1;0;3.65;500 - Service Call, other;B06;1;0.0;26211;84604;0.0879;;1476;0.056;;;8715;0.6904;0.9034;0.0402
Russian Hill;2023;2024;1;0;1;0;1;4.716666666666667;700 False alarm or false call, other;B04;1;0.0;16879;159262;0.0843;0.4261;2853;0.1622;1.2325;180.816;11438;0.8216;0.8868;0.0523
Chinatown;2009;2005;12;5;17;1;0;2.716666666666667;730 - System malfunction, other;B01;1;0.0;5014;19367;0.3297;;552;0.0896;;;8076;0.8943;0.5811;0.0869
Russian Hill;2019;2020;1;2;2;0;1;3.183333333333333;741 Sprinkler activation, no fire - unintentional;B04;1;6000.0;4359;150972;0.0764;0.4451;2206;0.1718;3.4691;724.937;11438;0.8216;0.8868;0.0523
Pacific Heights;2021;2022;12;0;13;0;0;5.3;511 Lock-out;B04;1;0.0;23895;179209;0.059;0.4401;2732;0.1563;0.6334;90.898;15087;0.833;0.8998;0.0288
Noe Valley;2014;2018;2;0;13;0;0;2.4833333333333334;440 Electrical  wiring/equipment problem, other;B06;1;0.0;22384;121369;0.0596;0.3474;1844;0.0705;0.261;61.383;11324;0.7884;0.8983;0.0128
Mission;2014;2018;2;0;14;0;0;4.616666666666666;500 Service Call, other;B02;1;0.0;33652;77025;0.151;0.3016;1526;0.0679;2.1662;509.509;25369;0.8541;0.7952;0.1418
Sunset/Parkside;2021;2022;12;0;14;0;0;9.816666666666666;311 Medical assist, assist EMS crew;B08;1;0.0;81209;132255;0.0693;0.3687;2538;0.051;0.3278;47.039;25996;0.4358;0.9069;0.0163
Potrero Hill;2019;2020;1;2;2;0;1;5.866666666666666;131 Passenger vehicle fire;B10;1;8000.0;8878;196593;0.0471;0.42;2640;0.0988;1.2192;254.787;7487;0.6637;0.8053;0.1087
Treasure Island;2023;2024;1;0;1;0;1;8.8;553 Public service;B03;1;0.0;2829;91750;0.3869;0.2908;2538;0.0913;0.9782;143.514;0;;0.0;0.0
Tenderloin;2009;2005;12;5;17;1;0;4.1;353 - Removal of victim(s) from stalled elev.;B02;1;0.0;;;;;;;;;20084;0.8892;0.4952;0.1139
Castro/Upper Market;2019;2020;1;2;2;0;1;6.133333333333334;700 False alarm or false call, other;B06;1;0.0;17311;163657;0.0582;0.42;2256;0.0975;1.1104;232.049;11618;0.7978;0.9132;0.0339
Lakeshore;2009;2005;12;5;17;1;0;4.716666666666667;440 - Elec. wiring/equip. problem, other;B08;1;0.0;6046;50895;0.2476;;1452;0.0523;;;4117;;0.2831;0.013
Outer Mission;2023;2024;1;0;2;0;1;4.733333333333333;150 Outside rubbish fire, other;B09;1;0.0;21717;142931;0.0936;0.2747;2166;0.0552;0.58;85.095;5725;0.7711;0.5901;0.0245
Golden Gate Park;2021;2022;12;0;14;0;0;8.083333333333334;481 Attempt to burn;B07;1;0.0;25;149688;0.0;0.4;2694;0.0;512.3361;73520.0;31;1.0;0.1667;0.0002
North Beach;2014;2018;2;0;14;0;0;2.9833333333333334;744 Detector activation, no fire - unintentional;B01;1;0.0;3664;28750;0.3207;0.2515;981;0.13;5.4874;1290.666;6485;0.7892;0.7707;0.0525
Financial District/South Beach;2019;2020;1;2;2;0;1;10.25;500 Service Call, other;B03;1;0.0;4569;107073;0.1777;0.3846;1814;0.1977;12.2226;2554.169;16452;0.6597;0.1331;0.0719
Castro/Upper Market;2023;2024;1;0;2;0;1;4.35;700 False alarm or false call, other;B05;1;0.0;22024;203862;0.0713;0.419;2663;0.1152;0.8836;129.631;11618;0.7978;0.9132;0.0339
Pacific Heights;2014;2018;2;0;14;0;0;3.3833333333333333;324 Motor vehicle accident with no injuries.;B04;1;0.0;15836;116465;0.0493;0.451;1922;0.0862;0.6967;163.867;15087;0.833;0.8998;0.0288
Inner Sunset;2021;2022;12;0;14;0;0;4.25;510 Person in distress, other;B05;1;0.0;28070;150017;0.0876;0.4204;2692;0.0814;0.3282;47.097;12068;0.5801;0.9455;0.0142
Potrero Hill;2009;2005;12;5;17;1;0;3.1166666666666667;511 - Lock-out;B10;1;0.0;3501;119797;0.0334;;1890;0.0395;;;7487;0.6637;0.8053;0.1087
Lakeshore;2009;2005;12;5;17;1;0;1.1;735 - Alarm system sounded due to malfunction;B08;1;0.0;6046;50895;0.2476;;1452;0.0523;;;4117;;0.2831;0.013
Financial District/South Beach;2023;2024;1;0;2;0;1;3.05;311 Medical assist, assist EMS crew;B01;1;0.0;24519;190545;0.0886;0.3662;3130;0.1935;2.003;293.854;16452;0.6597;0.1331;0.0719
Excelsior;2019;2020;1;2;3;0;1;5.416666666666667;500 Service Call, other;B09;1;0.0;39879;89857;0.0879;0.213;1764;0.0435;0.2473;51.681;9269;0.6049;0.9658;0.0134
Mission;2021;2022;12;0;14;0;0;3.7666666666666666;150 Outside rubbish fire, other;B06;1;0.0;57018;128489;0.1279;0.3756;2102;0.1248;1.5283;219.317;25369;0.8541;0.7952;0.1418
Tenderloin;2014;2018;2;0;15;0;0;3.0166666666666666;700 False alarm or false call, other;B04;1;0.0;11507;20562;0.3613;0.2048;765;0.139;4.8827;1148.431;20084;0.8892;0.4952;0.1139
