einsatz_nummer;einsatz_datum;alarm_zeitpunkt;ankunft_zeitpunkt;stadtteil_bezirk;bataillon;einsatzart;loeschfahrzeuge;loeschkraefte;rettungsdienst_einheiten;alarmstufe;zivile_tote;zivile_verletzte;flammenausbreitung_eingedaemmt;schaetzung_sachschaden_usd;antwortzeit_min;jahr;monat;stunde;wochentag;ist_wochenende;ist_nacht;stadtteil;acs_jahr;gesamtbevoelkerung;median_haushaltseinkommen;median_miete;armutsbevoelkerung;armuts_grundgesamtheit;akademiker_anzahl;bildungs_grundgesamtheit;leerstehende_wohneinheiten;gesamtzahl_wohnungen;kriminalitaetsindex;kriminalitaetsrate_pro_1000_ew_roh;parzellen_anzahl;parzellen_mit_baujahr;parzellen_vor_1940;parzellen_vor_1960;gesamtzahl_wohneinheiten;wohnparzellen_anzahl;gesamtflaeche_sqft;risikogewerbeflaeche_sqft;armutsquote_pct;akademikerquote_pct;leerstandsquote_pct;anteil_altbau_vor_1940_pct;anteil_altbau_vor_1960_pct;anteil_wohngebaeude_pct;anteil_risikogewerbe_pct
05095179;2005-12-17;2005-12-17 14:32:47;2005-12-17 14:37:28;Bayview Hunters Point;B10;745 - Alarm system sounded/no fire-accidental;3;10;0;1;0;0;;0.0;4.683333333333334;2005;12;14;5;1;0;Bayview Hunters Point;2009;29855;46395;982;5503;29653;0;0;891;9022;;;9079;7590;3045;5305;11504;6692;132006461.54851584;13267553.77316572;0.1856;;0.0988;0.4012;0.6989;0.7371;0.1005
20000034;2020-01-01;2020-01-01 00:44:56;2020-01-01 00:51:50;Financial District/South Beach;B03;745 Alarm system activation, no fire - unintentional;3;10;0;1;0;0;NA;0.0;6.9;2020;1;0;2;0;1;Financial District/South Beach;2019;4569;107073;1814;802;4513;1536;3994;690;3490;12.2226;2554.169;1232;1002;661;711;16452;164;22336746.81299536;1605340.129434689;0.1777;0.3846;0.1977;0.6597;0.7096;0.1331;0.0719
18024306;2018-02-26;2018-02-26 11:53:30;2018-02-26 11:57:04;Lone Mountain/USF;B07;321 EMS call, excluding vehicle accident with injury;1;5;1;1;0;0;NA;0.0;3.566666666666667;2018;2;11;0;0;0;Lone Mountain/Usf;2014;8802;82895;1552;1210;8654;2690;6746;216;3972;0.9414;221.427;2334;2260;1605;2037;6582;2151;11179656.492008898;498494.745960677;0.1398;0.3988;0.0544;0.7102;0.9013;0.9216;0.0446
24000031;2024-01-01;2024-01-01 01:05:43;2024-01-01 01:11:29;Glen Park;B06;531 Smoke or odor removal;1;4;0;1;0;0;NA;0.0;5.766666666666667;2024;1;1;0;0;1;Glen Park;2023;8458;179045;2606;396;8429;2432;6469;299;3874;0.5948;87.255;2588;1655;1259;1468;3964;1736;14541004.947574008;218531.48022570895;0.047;0.3759;0.0772;0.7607;0.887;0.6708;0.015
22167691;2022-12-26;2022-12-26 11:18:51;2022-12-26 11:21:51;South of Market;B03;730 System malfunction, other;3;10;0;1;0;0;NA;0.0;3.0;2022;12;11;0;0;0;South Of Market;2021;24972;85183;1624;3907;24654;6942;20757;2250;15318;3.3068;474.531;1984;1725;1183;1330;17638;639;17922069.165378615;3975462.21846598;0.1585;0.3344;0.1469;0.6858;0.771;0.3221;0.2218
24000032;2024-01-01;2024-01-01 01:07:00;2024-01-01 01:12:05;Mission Bay;B03;735 Alarm system sounded due to malfunction;4;15;0;1;0;0;NA;0.0;5.083333333333333;2024;1;1;0;0;1;Mission Bay;2023;16710;208398;3339;1110;16082;4220;13010;662;8138;0.8982;131.777;361;125;57;80;8458;38;19396422.078804985;1614160.25874428;0.069;0.3244;0.0813;0.456;0.64;0.1053;0.0832
20000038;2020-01-01;2020-01-01 00:54:26;2020-01-01 00:59:46;Bayview Hunters Point;B10;150 Outside rubbish fire, other;3;10;0;1;0;0;NA;0.0;5.333333333333333;2020;1;0;2;0;1;Bayview Hunters Point;2019;37917;64881;1367;6717;37747;4910;26929;776;12701;0.954;199.356;9079;7590;3045;5305;11504;6692;132006461.54851584;13267553.77316572;0.1779;0.1823;0.0611;0.4012;0.6989;0.7371;0.1005
05095182;2005-12-17;2005-12-17 14:44:29;2005-12-17 14:48:05;Financial District/South Beach;B03;730 - System malfunction, other;3;10;0;1;0;0;;0.0;3.6;2005;12;14;5;1;0;Financial District/South Beach;2009;3946;81993;1521;522;3946;0;0;612;3027;;;1232;1002;661;711;16452;164;22336746.81299536;1605340.129434689;0.1323;;0.2022;0.6597;0.7096;0.1331;0.0719
22167700;2022-12-26;2022-12-26 11:36:50;2022-12-26 11:40:31;South of Market;B03;353 Removal of victim(s) from stalled elevator;1;5;0;1;0;0;NA;0.0;3.683333333333333;2022;12;11;0;0;0;South Of Market;2021;24972;85183;1624;3907;24654;6942;20757;2250;15318;3.3068;474.531;1984;1725;1183;1330;17638;639;17922069.165378615;3975462.21846598;0.1585;0.3344;0.1469;0.6858;0.771;0.3221;0.2218
18024312;2018-02-26;2018-02-26 12:11:40;2018-02-26 12:14:55;Castro/Upper Market;B05;730 System malfunction, other;3;10;0;1;0;0;NA;0.0;3.25;2018;2;12;0;0;0;Castro/Upper Market;2014;15656;115515;1808;1165;15570;5343;14007;780;9264;1.2655;297.649;4642;4432;3536;3899;11618;4239;16444864.1772685;556767.736190382;0.0748;0.3815;0.0842;0.7978;0.8797;0.9132;0.0339
18024316;2018-02-26;2018-02-26 12:22:19;2018-02-26 12:26:33;Oceanview/Merced/Ingleside;B09;744 Detector activation, no fire - unintentional;3;11;0;1;0;0;NA;0.0;4.233333333333333;2018;2;12;0;0;0;Oceanview/Merced/Ingleside;2014;20815;75579;1699;3098;20713;3158;14872;274;6230;0.3289;77.348;6355;2848;1743;2618;6636;2931;19749005.94911125;357371.67210122;0.1496;0.2123;0.044;0.612;0.9192;0.4612;0.0181
22167707;2022-12-26;2022-12-26 12:12:31;2022-12-26 12:14:26;Western Addition;B05;113 Cooking fire, confined to container;3;10;0;1;0;0;NA;0.0;1.9166666666666667;2022;12;12;0;0;0;Western Addition;2021;21989;100911;1718;4216;21893;6622;18352;1650;13109;1.4321;205.512;1037;935;683;706;12487;800;10974477.754918382;456049.950788231;0.1926;0.3608;0.1259;0.7305;0.7551;0.7715;0.0416
24000040;2024-01-01;2024-01-01 01:16:27;2024-01-01 01:34:31;Financial District/South Beach;B03;353 Removal of victim(s) from stalled elevator;1;5;0;1;0;0;NA;0.0;18.066666666666666;2024;1;1;0;0;1;Financial District/South Beach;2023;24519;190545;3130;2158;24358;7591;20728;3314;17123;2.003;293.854;1232;1002;661;711;16452;164;22336746.81299536;1605340.129434689;0.0886;0.3662;0.1935;0.6597;0.7096;0.1331;0.0719
05095184;2005-12-17;2005-12-17 15:04:31;2005-12-17 15:06:44;Tenderloin;B04;745 - Alarm system sounded/no fire-accidental;3;11;0;1;0;0;;0.0;2.216666666666667;2005;12;15;5;1;0;Tenderloin;2009;;;;;;;;;;;;838;767;682;699;20084;415;6915450.999958961;787681.339408623;;;;0.8892;0.9113;0.4952;0.1139
